	IDBron	Bron	Periode
44	81	Rombach, J.H. van, Inventaris van de archieven van de families Van Foreest, Van Egmond van de Nijenburg, etc.., (Alkmaar 1992)	
45	84	Wolf, M.M. de en M.W. de Wolf, Het Enkhuizer regentengeslacht Van Loosen en aanverwante geslachten (’s-Gravenhage 1972)	
46	113	Tombe, J.W. des, Het geslacht Van den Boetzelaer (Assen 1969)	
47	114	Namen van de wel ed. gr. achtbare heeren, regeerders der stad Enchuysen, mitsgaders bewindhebberen van de Oost- en West-Indische Compagnien etc. (Enkhuizen z.d.)	
48	115	Naam-register van de heeren van de regeering der stad Haarlem [...] (Haarlem 1733) Koninklijke Bibliotheek, signatuur 393 E 17, met aanvullingen tot en met 1771; andere exemplaren met aanvullingen tot 1795)	
49	116	Holland. Regionaal historisch tijdschrift (Den Haag 1969- )	
50	117	Bruinvis, C.W., De Alkmaarsche vroedschap tot 1795 (Z.pl., z.d.)	
51	119	Velius, Theodorus en Sebastiaan Centen, Chronyk van Hoorn (Hoorn 1740)	
52	120	Boitet, Reinier, Beschryving der stadt Delft (Delft 1729)	
53	121	Naamwyser, waar in vertoond werden de naamen van de Ed. Achtb. H.H. regenten der stad Leyden (Leiden 1688)	
54	122	Strzelczyk, S.W.R., Schiedamse regenten 1710-1740 (ongepubliceerde doctoraalscriptie Leiden 1983) Bijlage 8: personenregister	
55	123	Rijn, M.E. van, Wroeten in de vroedschap. Delftse regentenfamilies in de eerste helft van de 18e eeuw (ongepubliceerde doctoraalscriptie Leiden 1985) Bijlage D	
56	124	Meijer, F. Ch., De vroedschap van Schiedam. Een maatschappelijke en politieke plaatsbepaling van de Schiedamse vroedschap gedurende de patriottentijd en de restauratie (doctoraalscriptie Leiden 1986; bijlagen blz. 94-96)	
57	125	Jaarboek van het Centraal Bureau voor Genealogie en het Iconographisch Bureau ('s-Gravenhage 1947- )	
58	126	Nierop, H.F.K. van, Van ridders tot regenten. De Hollandse adel in de zestiende en zeventiende eeuw (Den Haag 1984)	
59	127	Ablaing van Giessenburg, W.J. d', De Ridderschap van Holland (manuscript Centraal Bureau voor Genealogie Den Haag 1850)	
60	128	Lamet, Sterling Andre, Men in government: the patriciate of Leiden, 1550-1600 (proefschrift Universiteit van Massachusetts 1979)	
61	129	Meghelen, Pieter van, Register van de regering tot Edam beginnende voor zoo veel men vinden kan van 't jaar 1572 (manuscript Rijksarchief Noord-Holland, collectie losse aanwinsten, inv. nr. 104)	
62	130	Nationaal Archief	
63	131	Noordam, D.J., Databestand Leidse veertigraad (ongepubliceerd)	
64	132	Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983)	
65	133	Siegenbeek van Heukelom-Lamme, C.A., Album scholasticum academiae Lugduno-Batavae MDLXXV-MCMXL (Leiden 1941)	
66	134	Nederlandsche Leeuw, De ('s-Gravenhage 1883-)	
67	135	Algemeen Nederlandsch Familieblad (1883-1905)	
68	136	Wapenheraut, De ('s-Gravenhage 1897-1920)	
69	137	Genealogische en heraldische bladen (1906-1915)	
70	138	Heraldieke bibliotheek (1872-1883)	
71	139	Belonje, J., Ter Coulster (Wormerveer 1946)	
72	141	Gens Nostra (Amsterdam 1945-)	
73	142	Obreen, H.G.A., Geschiedenis van het geslacht van Wassenaer (Leiden 1903)	
74	143	Leeuwen, Simon van, Batavia illustrata, ofte verhandelinge van den oorspronk, voortgank, zeden, eere, staat en godtsdienst van Oud Batavien, mitsgaders van den adel en regeringe van Hollandt ('s-Gravenhage 1685)	
75	144	Vreede, G.W., 'Hooge Raad van Holland, Zeeland en West-Friesland', Jaarboekje van de regterlijke magt in het Koningrijk der Nederlanden 1 (1839) 3-56 (achterin gebonden, met nieuwe nummering),	
76	145	Navorscher, De (Amsterdam 1851- )	
77	146	Waterlands archief	
78	147	Jaarverslag Vereniging Oud Monnickendam	
79	148	Gemeentearchief Delft	
80	149	Kronieken. Tijdschrift van de Genealogische Vereniging Prometheus (Delft 1992- )	
81	150	Westfries Archief	
82	151	Aa, A.J. van der, Biographisch woordenboek der Nederlanden (12 dln., Haarlem 1852-1878)	
83	152	Lyst der edele mogende heeren gecommitteerde raaden van Zeeland, sedert de opregting van het collegie in het jaar 1578, en der ministers van die provintie (z.d., z.p.)	
84	153	Romeijn, A. ‘Alles ten meesten oirboir van de stad.’ De stadsregering van Tholen (1577-1702) (Giessen 2001)	
85	154	Naamwijzer van Middelburg (Stichting Genealogische Publikaties Zeeland, Den Helder/Vlissingen 1997)	
86	155	Mensema, A.J., De ridderschap van Overijssel 1460-1795 (4 dln., Zwolle 1993)	
87	156	Schilder, K., Anthony van Mierlo's register van Overijsselse ambtenaren (Kampen 1984)	
88	157	Schilder, K., Van raad tot municipaliteit (3 dln., Kampen 1985)	
89	158	Streng, J.C., 'Stemme in staat'. De bestuurlijke elite in de stadsrepubliek Zwolle (Hilversum 1997)	
90	159	Overijsselse Historische Bijdragen (Zwolle 1977-)	
91	160	Heel, Caspar van, 400 jaar gedeputeerde staten van Overijssel (Zwolle 1993)	
92	162	Doorninck, J. van, Geslachtkundige aanteekeningen ten aanzien van de gecommitteerden ten landdage van Overijssel zedert 1610-1794 met eenige berigten omtrent de voormalige havezathen in dat gewest (Deventer 1869)	
93	165	Zeeuws archief	
94	166	Magistraet der stadt Middelburgh, die geregeert hebben sedert anno 1560, De (Middelburg 1694)	
95	169	Nienes, A.P. van en M. Bruggeman, Archieven van de Friese stadhouders (Leeuwarden 2002)	
96	173	Unger, J.H.W., De regeering van Rotterdam 1328-1892 (Rotterdam 1892)	
97	174	Gabriëls, A.J.C.M., De heren als dienaren en de dienaar als heer. Het stadhouderlijk stelsel in de tweede helft van de achttiende eeuw ('s-Gravenhage 1990)	
98	176	Vries, Hanno de, Databestand van regenten van Hollandse steden 1572-1700, met name Rotterdam (berust bij de auteur)	
99	177	Tijdschrift voor Geschiedenis	
100	178	Alkmaars Jaarboekje (Alkmaar 1965-1974)	
101	179	Roorda, D.J., Rond prins en patriciaat (verspreide opstellen) (Weesp 1984)	
102	180	Handelingen van het Provinciaal Genootschap van Kunsten en Wetenschappen in Noord-Brabant	
103	181	Wittert van Hoogland, E.B.F.F., De Nederlandsche adel 1 ('s-Gravenhage 1913)	
104	182	Smidt, J.Th. de e.a. ed., Van tresorier tot thesaurier-generaal. Zes eeuwen financieel beleid in handen van een hoge Nederlandse ambtsdrager (Hilversum 1996)	
105	184	Ruë, Pieter de la, Staatkundig en heldhaftig Zeeland (Middelburg 1736)	
106	185	Haan Hettema, M. de en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (2 dln., Leeuwarden 1846)	
107	187	Bloys van Treslong Prins, P.C., Genealogische en heraldische gedenkwaardigheden in en uit de kerken der provincie Overijssel (Utrecht 1925)	
108	188	Nagtglas, F., Levensberichten van Zeeuwen (2 dln., Middelburg 1890-1893)	
109	189	Veldhuijzen, G., Nieuwe heeren nieuwe kussens. Het regentenpatriciaat van Dordrecht 1672-1685 (Dordrecht 1988)	
110	190	Algemeene rekenkamer in de Nederlanden en de daaraan voorafgegane commissien en collegien van toezigt op het beheer van 's lands geldmiddelen 1428-1873, De (ongepubliceerd manuscript; Bibliotheek Algemene Rekenkamer 's-Gravenhage)	
111	191	Bonke, Hans en Katja Bossaers, Heren investeren. De bewindhebbers van de West-Friese kamers van de VOC (Haarlem/Hoorn/Enkhuizen 2002)	
112	192	Rijks Archief in Noord-Brabant	
113	193	Boddaert, Pieter e.a., Tegenwoordige staat der Vereenigde Nederlanden. Behelzende eene beschryving van Zeeland (Amsterdam 1751)	
114	194	Smallegange, Mattheus, Nieuwe Cronyk van Zeeland (Middelburg 1696)	
115	195	Taxandria. Tijdschrift voor Noordbrabantsche geschiedenis en volkskunde (Bergen op Zoom 1894-1943)	
116	196	Riemsdijk, Th. van, De griffie van Hare Hoog Mogenden. Bijdrage tot de kennis van het archief van de Staten-Generaal der Vereenigde Nederlanden ('s-Gravenhage 1885)	
117	197	Lindeman, R., Y. Scherf en R.M. Dekker, Reisverslagen van Noord-Nederlanders van de zestiende tot begin negentiende eeuw. Een chronologische lijst (Rotterdam 1994)	
118	198	Johan Huyssen van Kattendijke-kroniek. bew. door Antheun Janse (Den Haag 2005)	
119	200	Verhas, C.M.O., De beginjaren van de Hoge Raad van Holland, Zeeland en West-Friesland (Den Haag 1997)	
120	203	Baerdt van Sminia, H., Nieuwe naamlijst van grietmannen van de vroegste tijden af tot het jaar 1795, met eenige geschiedkundige aanteekeningen (Leeuwarden 1837)	
121	204	Dumbar, G., Kerkelyk en wereltlyk Deventer (2 dln., Deventer 1732 en 1788)	
122	205	Notulen van de Staten van Zeeland (gedrukt)	
123	206	Bijl, M. van der, Idee en interest. Voorgeschiedenis, verloop en achtergronden van de politieke twisten in Zeeland en vooral in Middelburg tussen 1702 en 1715 (Groningen 1981)	
124	207	Album studiosorum academiae Lugduno Batavae MDLXXV-MDCCCLXXV ('s-Gravenhage 1875)	
125	208	Thierry de Bye Dólleman, M., 'Het Haarlemse geslacht Geltsack' in: Liber amicorum Jhr. Mr. C.C. van Valkenburg ('s-Gravenhage 1985) 81-89,	
126	209	Resolutiën der Staten-Generaal	
127	210	Briefwisseling van Anthonie Heinsius 1702-1720, De, A.J. Veenendaal ed. (19 dln., 's-Gravenhage 1976-2001)	
128	211	Particuliere notulen van de vergaderingen der Staten van Holland	
129	212	Schmidt, C., Om de eer van de familie. Het geslacht Teding van Berkhout 1500-1950. Een sociologische benadering (Amsterdam 1986)	
130	213	West-Friesland's oud en nieuw (1926-)	
131	214	Kok, G. Chr., In dienst van het recht. Uit de geschiedenis van het gerechtshof te 's-Gravenhage en de daaraan voorafgegane hoven (1428-heden) (Hilversum 2005)	
132	215	Brood, P. e.a. ed., Homines novi. De eerste volksvertegenwoordigers van 1795 (Amsterdam 1993)	
133	216	Knevel, Paul, Het Haagse bureau. Zeventiende-eeuwse ambtenaren tussen staatsbelang en eigenbelang (Amsterdam 2001)	
134	217	Louw, R.G., Wie was wie in Watergang. Een Waterlands dorp en zijn inwoners in de 17e en 18e eeuw (2 dln., Gouda 2004)	
135	219	Feenstra, Hidde, Spinnen in het web. Groningse regenten in relatie tot het omringende platteland tijdens de Republiek. (Assen 2007)	
136	220	Formsma, W.J., R.A. Luitjens-Dijkveld en A. Pathuis, De Ommelander Borgen en Steenhuizen (Assen 1973)	
137	221	Maris, A.J. en H.L. Driessen, Het archief van het Hof van Gelre en Zutphen (1543-1795), het Hof van Justitie (1795-1802) en het departementaal Gerechtshof (1802-1811) I (Arnhem 1978)	
138	222	Kuiken, Duco, Lijst van gezagsdragers vermeld in het Regeringsboek afkomstig uit het Gemeente-archief Groningen 1594 - ca. 1811 (Alfabetisch, ongepubliceerd manuscript, Groninger Archieven).	
139	223	Formsma, W.J., De archieven van de Hoge Justitiekamer in Groningen en andere gewestelijke rechterlijke instellingen tot 1811 (’s Gravenhage 1968)	
140	224	Baumann, E.D., Een lijfarts der Oranjes in de XVIIde eeuw (Utrecht 1952)	
141	225	Elias, J.E., Het geslacht Elias: de geschiedenis van een Amsterdamsche regentenfamilie ('s Gravenhage 1937)	
142	226	Elias, J.E., Genealogie van het geslacht Elias: Faas Elias en Witsen Elias (Assen 1942)	
143	228	Lijste van de heeren geëligeerden, representerende den Eersten Staat van den lande van Utrecht (Utrecht 1723)	
144	240	Mr. W.J. baron d'Ablaing van Giessenburg	
145	241	Ablaing van Giessenburg, W.J. d', De Ridderschap van het Kwartier van Nijmegen. Namen en stamdeelen van de sedert 1587 verschenen edelen (Den Haag 1899).	
146	242	Ablaing van Giessenburg, W.J. d', Bannerheeren en Ridderschap van Zutphen. Van den aanvang der beroerten in de XVIe Eeuw, tot het jaar 1795 (Den Haag 1877).	
147	243	Ablaing van Giessenburg, W.J. d', De Ridderschap van Veluwe, of Geschiedenis der Veluwsche Jonkers (Den Haag 1899).	
148	244	Bijdragen en Mededelingen - Vereniging Gelre	
149	245	Maris, A.J. (red.), De leen, keurmedige en tynsgoederen van de Sint-Salvator-abdij te Prüm in Gelderland (leenkamer van Klarenbeek) (Arnhem 1934).	
150	246	Gabriëls, A.J.C.M., ongepubliceerd databestand ter voorbereiding op 'De heren als dienaren en de dienaar als heer'. Berustend bij de auteur.	
151	248	Utrechts Archief	
152	249	Beerthuizen-van Kooten, Ada (red.) Montfoort, geschiedenis van een kleine Utrechtse stad 1670 - 1750. Stichts Hollandse Bijdragen 19 (1988)	
153	250	Hormann, H.Th., Gezagsdragers Amersfoort 1405 - 1795. Historische toegangen van de Gelderse vallei, deel 18 (Woudenberg 1998)	
154	253	Heuff, G., L.M. van der Hoeven, Van linie en stamme Hueff. Genealogie van het geslacht Hueff (Hilversum 2007)	
155	254	Heraldische databank: http://www.heraldischedatabank.nl	
156	255	Regionaal Historisch Centrum Zuidoost Utrecht: http://www.genealogiezuidoostutrecht.org	
157	256	Wie was wie database: https://www.wiewaswie.nl	
158	257	Olde Meierink, B. (et al.) Kastelen en ridderhofsteden in Utrecht (Utrecht 1995)	
159	258	Wildschut, B.T., Genealogie van Nassau (Amsterdam 2009, vierde druk)	
160	259	Wilschut, B.T., Genealogie van Nassau (Amsterdam 2009, vierde druk)	
161	260	Haslinghuis, E.J. en C.J.A.C. Peeters, De Dom van Utrecht ('s-Gravenhage 1965)	
162	261	Hazemeijer, S.K., J.W.A. van Hengel en J.A.C. Mathijssen, Inventaris van het archief van de familie Ram (1400) 1560-1886 (Utrechts Archief)	
163	262	Namen van de heeren geëligeerde raaden, edelen en ridderschappe, mitsgaders van de regenten der steede des lands van Utrecht etc. [afzonderlijk genummerd onderdeel van naamregister der leeden, steeden en regeeringen derzelve, uyt welke de vergaderinge etc	
164	263	Website 'Parlement en Politiek' van het Parlementair Documentatie Centrum van de Universiteit Leiden	
165	264	Beschryving van de stad Amersfoort II (Utrecht 1760)	
166	265	Groot Placaatboek vervattende alle de placaten … van Utrecht … (Utrecht 1729)	
167	267	Ruitenberg, G.M.W., Inventaris van het archief van de familie Taets van Amerongen van Natewisch 1438-1937 (Utrecht 1979)	
168	268	Buchel, Aernout van, Monumenta passim in templis ac monasteriis Trajectinae urbis atque agri inventa (handschrift Utrechts Archief)	
169	270	Engelfried, Aad, 'De bewindhebbers van de VOC kamer Rotterdam', http://www.engelfriet.net/Alie/Hans/bewindhebbersvoc.htm (9-5-2016).	
170	271	Valentyn, François, Oud en nieuw Oostindiën (Dordrecht/Amsterdam 1724-1726) 5 dln.	
171	275	Gelders Archief	
172	276	Erfgoedcentrum Zutphen	
173	277	Biografisch Portaal van Nederland (http://www.biografischportaal.nl)	
174	272	Grimm, P. (ed.), Heeren in zaken. De kamer Rotterdam van de Verenigde Oostindische Compagnie (Zutphen 1994)	
175	278	Wijnaendts van Resandt, W., Genealogie van het geslacht Sels - Van Löben Sels (Arnhem 1923)	
176	279	Martens van Sevenhoven, A.H., Het archief der Geldersche Rekenkamer, 1559-1795, en van de commissarissen, belast met het beheer van de Geldersche domeinen, 1543-1559 deel 1 (’s-Gravenhage 1925)	
177	280	"	Pas, Wil van de, en Peet Theeuwen, Ambtenaren Gelderland 1543-1795. Ongepubliceerd manuscript Gelders Archief."	
178	282	Winter, P.J. van, De Westindische Compagnie ter kamer Stad en Lande ('s-Gravenhage 1978)	
179	283	Schneeloch, N.H., ‘Die Bewindhebber der Westindischen Compagnie in der Kammer Amsterdam’, Economisch en Sociaal-Historisch Jaarboek 36 (1973) 1-52.	
180	284	Wikipedia	
181	285	Velden, Esther van, en Siert Wieringa, Deventer & slavernij. Vooronderzoek (Deventer 2023).	
182	286	Raat, A. J. P., The life of Governor Joan Gideon Loten (1710-1789) : a personal history of a Dutch virtuoso (proefschrift Leiden 2010).	
183	287	Nieuwe Nederlandsche Jaerboeken	
184	288	Groninger Archieven	
185	290	Anspach, J., De Veluwsche familie Tulleken en hare aanverwanten (z.p. 1882)	
186	291	Aalbers, J., 'Een oude richting doorbroken. De Utrechtse Ridderschap 1814-1815', Virtus 2 (1994-1995) afl. 1	
187	292	Register op de leenaktenboeken op het vorstendom Gelre en het graafschap Zutphen. Het kwartier van Nijmegen. Bew. Door J.J.S. baron Sloet en A.M. Martens van Sevenhoven (Arnhem 1924).	
188	293	Ruë, Pieter de la, Staatkundig en heldhaftig Zeeland (Middelburg 1736)	
189	294	Rotterdamsche Courant	
190	274	Gaastra, Femme Simon, Bewind en beleid bij de VOC. De financiële en commerciële politiek van de bewindhebbers, 1672-1702 (Zutphen 1989) 263-266: Chronologische naamlijst met zittingsdata en beknopte persoonsgegevens.	
191	251	Ruitenberg, G.M.W. , Inventaris van het huisarchief Verwolde (14e-20e eeuw) en van het familiearchief Van der Borch van Verwolde (15e-20e eeuw) Geldersche inventarissen reeks 38 (Arnhem-Harfsen 2002)	
192	273	Houtzager, H.L. e.a. (eds.), Delft en de Oostindische Compagnie (Amsterdam 1987) 202-207: Chronologische naamlijst met zittings- en leefjarenjaren en beknopte carrièregegevens.	
193	227	Utrechtse bestuurders. 900 jaar stadsbestuur, website Het Utrechts Archief (februari 2023)	
194	247	Register op de leenaktenboeken op het vorstendom Gelre en het graafschap Zutphen. Het kwartier van Zutphen. Bew. Door J.S. Veen (Arnhem 1917).	
