	IDBron	Bron	Periode
27	48	Braake, S. ter, 'In dienst in Den Haag. Makelaardij bij het Hof van Holland aan het eind van de Middeleeuwen (1483-1506)', Holland 35 (2003) 9-26,	0
28	52	Resolutiën der Staten-Generaal	0
29	54	Godenne, W. en L.Th. Maes, Iconografie van de leden van de Grote Raad van Mechelen (Brussel etc. 1951)	0
30	55	Fouw jr., A. de, Onbekende raadpensionarissen ('s-Gravenhage 1946)	0
31	56	Ablaing van Giessenburg, W.J. d', Bannerheeren en ridderschap van Zutphen van den aanvang der beroerten in de XVIe eeuw tot het jaar 1795 (2 dln., 's-Gravenhage 1877-1885)	0
32	57	Braake, S. ter, De weg naar het Hof. De activiteiten  van 43 grafelijke ambtenaren in Den Haag aan het eind van de Middeleeuwen (1483-1506) (doctoraalscriptie VU 2002)	0
33	58	Fölting, H.P., De landsadvocaten en raadpensionarissen der Staten van Holland en West-Friesland 1480-1795. Een genealogische benadering ('s-Gravenhage 1976)	0
34	59	Consilium Magnum 1473-1973 (Brussel 1977)	0
35	60	Nierop, H.F.K. van, Van ridders tot regenten. De Hollandse adel in de zestiende en zeventiende eeuw (Den Haag 1984)	0
36	61	Gorissen, P., De Raadkamer van de hertog van Bourgondië te Maastricht (1473-1477) (Louvain/Paris 1959)	0
37	65	Cleveringa, R.P., Gemeene Landswarf en Hoofdmannenkamer te Groningen tot 1601 (Groningen etc. 1934)	0
38	66	Nederlandsche Leeuw, De ('s-Gravenhage 1883-)	0
39	68	Nationaal Archief	0
40	69	Aalbers, P.G., Justitiae Sacrum. Zeven eeuwen rechtspraak in Arnhem (Utrecht 1998)	0
41	70	Woelderink, B., Inventaris van het archief van Het Huis ten Donck (Rotterdam 1968)	0
42	71	Graaff, S.A.L. de e.a., Inventarissen van de archivalia van de familie Zoudenbalch, 1393-1678 en van de familie van Wijckersloot, 1416-1827 (Utrecht 1986)	0
43	72	Rombach, J.H. van, Inventaris van de archieven van de families Van Foreest, Van Egmond van de Nijenburg, etc.., (Alkmaar 1992)	0
44	73	Smit, J., Het archief der rekenkamer ter Auditie van de gemeenelandsrekeningen en de opvolgende colleges met de daaronder berustende rekeningen ('s-Gravenhage 1946)	0
45	76	Verhas, C.M.O., De beginjaren van de Hoge Raad van Holland, Zeeland en West-Friesland (Den Haag 1997)	0
46	81	Berkenvelder, F.C., Zwolse regesten (6 dln., Zwolle 1980-1997)	0
47	83	Berends, P., Het oud-archief der gemeente Harderwijk (2 dln., Harderwijk 1935)	0
48	85	Ablaing van Giessenburg, W.J. d', De ridderschap van het kwartier van Nijmegen. Namen en stamdeelen van de sedert 1587 verschenen edelen ('s-Gravenhage 1899)	0
49	86	Zijp, A., De strijd tusschen de Staten van Gelderland en het Hof 1543-1566 (Arnhem 1913)	0
50	88	Japikse, N., 'Onafhankelijksdag (26 Juli 1581)', Bijdragen voor Vaderlandsche Geschiedenis en Oudheidkunde, 5e reeks, I (1913) 213-240,	0
51	90	Pas, W. van de, 'Gelre en de crises in de Opstand. De vredesoproep van Thomas Gramaye de Oude (1583)', Bijdragen en Mededelingen Gelre LXXXIV (1993) 21-41.	0
52	91	Berkel, K. van, 'Aggeus de Albada en de crisis in de Opstand (1579-1587)', Bijdragen en Mededelingen betreffende de Geschiedenis der Nederlanden 96 (1981) 1-25,	0
53	92	Fruin, R., ‘Gedenkschrift van Joris de Bye, betreffende het bewind van Oldenbarnevelt’, Bijdragen en Mededelingen van het Historisch Genootschap 11 (1888) 400-459,	0
54	93	Meij, G.M.J. de, Inventaris van de archieven van de familie Martini Buys, 1559-1966, en van het huis en de heerlijkheid Loenersloot (1276) 1569-1954 (Utrecht 1984)	0
55	97	Geer van Oudegein, J.J. de, Proeve eener geschiedenis van het geslacht van Nyenrode (met nalezingen) (2 dln., Utrecht 1851-1854)	0
56	98	Doppler, P., Lijst der proosten van het Vrije Rijkskapittel van St. Servaas te Maastricht (800-1797) (Maastricht 1936)	0
57	102	Heerma van Voss, A.L., Rekeningen en andere stukken betreffende Friesland, afkomstig uit de Hollandsche Rekenkamer (1515-1575) ('s-Gravenhage 1949)	0
58	108	Muller Fz., S. e.a., Regesten van het archief der bisschopen van Utrecht (722-1528) (4 dln., Utrecht 1917-1922)	0
59	109	Smelt, W.E., Het oud-archief van de gemeente Zutphen (2 dln., Utrecht 1941)	0
60	111	Gelders Archief	0
61	112	Vries, O. e.a., De Heeren van den Raede. Biografieën en groepsportret van de raadsheren van het Hof van Friesland, 1499-1811 (Hilversum 1999)	0
62	113	Nederland's Adelsboek ('s-Gravenhage 1903-)	0
63	114	Nouvelle Biographie National (Brussel 1988-)	0
64	115	Kollenburg, H.M.M. van, Archief van de heren van Oijen (1550-1899) ('s-Hertogenbosch 1969)	0
65	116	Kok, G. Chr., In dienst van het recht. Uit de geschiedenis van het gerechtshof te 's-Gravenhage en de daaraan voorafgegane hoven (1428-heden) (Hilversum 2005)	0
66	117	Kerckhoffs-de Heij, A.J.M., De Grote Raad en zijn functionarissen 1477-1531 (Amsterdam 1980)	0
67	118	Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983)	0
68	119	Houssiau, J., Les secrétaires du Conseil privé sous Charles Quint en Philippe II (c. 1531 - c. 1567) (Brussel 1998)	0
69	120	Biografisch Woordenboek van Gelderland. Bekende en onbekende mannen en vrouwen uit de Gelderse geschiedenis (Hilversum 1998-)	0
70	121	Schilfgaarde, A.P. van, Het huis Bergh (Maastricht 1950)	0
71	122	Martens van Sevenhoven, A.H., Het archief der Geldersche Rekenkamer, 1559-1795, en van de commissarissen, belast met het beheer van de Geldersche Domeinen, 1543-1559 (2 dln., Den Haag 1925)	0
72	123	Geschiedenis van de provincie Utrecht (3 dln., Utrecht 1997)	0
73	124	Utrechtse biografieën. Levensbeschrijvingen van bekende en onbekende Utrechters. W. van den Broeke e.a. ed. (5 dln., Utrecht 1994-1998)	0
74	125	Smedt, R. de ed., Les chevaliers de l'Ordre de la Toison d'or au XVe siècle. Notices bio-bibliographiques (2e dr., Frankfurt am Main 2000)	0
75	126	Koch, A.C.F., J.G. Kruisheer en E.C. Dijkhof, Oorkondenboek van Holland en Zeeland tot 1299 (5 dln., Assen-Maastricht-Den Haag 1970-2005)	0
76	127	Jaarboekje voor geschiedenis en oudheidkunde van Leiden en omstreken (Leiden 1904-)	0
77	129	Aalbers, J., e.a., Utrechtse biografieën. Levensbeschrijvingen van bekende en onbekende Utrechters (Amsterdam/Utrecht 1994-)	0
78	130	Mensema, A.J., Repertorium op de leenregisters van de leen- en hofhorige goederen van de Proosdij van St. Lebuinus te Deventer 1408-1809 I (Zwolle 1981)	0
79	131	Ruitenberg, G.M.W., Inventaris van het archief van de familie Taets van Amerongen van Natewisch, 1438-1937	0
80	132	Jaarboek van het Centraal Bureau voor Genealogie en het Iconographisch Bureau ('s-Gravenhage 1947- )	0
81	133	Kort, J.C., Het archief van de familie Van Matenesse en van de heerlijkheid Matenesse, 1251-1917 ('s-Gravenhage 1988)	0
82	134	Hullu, De ,'Het dagboek van Dr. Johan Dorre, burgemeester van Deventer', in: Bijdragen tot de Geschiedenis van Overijssel XI (1896) 337-346	0
83	135	Elias, J.E., De vroedschap van Amsterdam, 1578-1795 (2 dln., Haarlem 1903-1905)	0
84	136	Riemsdijk, Th. van, De griffie van Hare Hoog Mogenden. Bijdrage tot de kennis van het archief van de Staten-Generaal der Vereenigde Nederlanden ('s-Gravenhage 1885)	0
85	137	Smit, inl. inv. Arch. Financie van Holland	0
86	138	Alkemade, W.R.C., Langs de Oude Rijn. Levensbeschrijvingen van bekende en onbekende mensen uit Vleuten-De Meern, Harmelen en Woerden (Utrecht 1999)	0
87	139	Don, J., De archieven der gemeente Kampen (3 dln, 1963-1971)	0
88	141	Beek, E.J.A. van, Encyclopedie van munten en bankbiljetten (Houten 1986), 3 dln.	0
89	142	Kan, F. van , Haagse Elite tot 1572 http://www.gemeentearchief.denhaag.nl/websitehga/haagseelite/hal-a.htm (bezocht 06-08-2008)	0
90	143	Benders, J., & T. Nissen, Muntmeester Jan van Landaes en de fijne groot (Dordtse muntslag in 1370), (Utrecht 2006)	0
91	144	Haags Gemeentearchief, Kerkvoogdij der Hervormde gemeente 's-Gravenhage, bezocht 26-09-2012	0
92	145	Haags Gemeentearchief, Oud archief van de gemeente 's-Gravenhage, bezocht 26-09-2012	0
93	147	Haags Gemeentearchief, Sint Nicolaas Gasthuis	0
94	148	Haags Gemeentearchief, Sint Nicolaas Gasthuis, bezocht 26-09-2012	0
95	149	Gent, M.J. van, 'Pertijelike saken'. Hoeken en Kabeljouwen in het Bourgondisch-Oostenrijks tijdperk. ['s-Gravenhage 1994]. Hollandse Historische Reeks 22	0
96	150	Braake, Serge ter. Met recht en rekenschap. De ambtenaren bij het Hof van Holland en de Haagse Rekenkamer in de Habsburgse Tijd (1483-1558) (Hilversum 2007).	0
97	151	Prevenier, W., J.G. Smit e.a., Bronnen voor de geschiedenis der dagvaarten van de Staten en steden van Holland voor 1544, 6 dln, 8 bdn, Den Haag 1987-2011	0
98	158	Smit, H.J., De rekeningen der graven en gravinnen uit het Henegouwsche huis, III, Inleiding	0
99	159	Braake, S. ter. Zwaeren arbeyden ende cleen proffijten. Tijdschrift voor sociale en economische geschiedenis 3 [2006] nr. 1, p. 51-72	0
100	160	Ernsting, P. en J.D. Winsemius. Regesten van oorkonden en akten voorkomende in de registers van de heren van Putten en Strijen. 1969	0
101	161	Ernsting, P. en J.D. Winsemius. Regesten van oorkonden en akten voorkomende in de registers van de heren van Putten en Strijen (Den Haag 1969).	0
102	162	Rekenkamer van Zeeland, Rekenkamer D (1573) 1597-1805 (1808)	0
103	164	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, CA (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
104	165	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, FR (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
105	167	Fruin, R., De leenregisters van Bewesten Schelde 1470-1535 ('s-Gravenhage 1911), regesten I	0
106	168	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, UT (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
107	140	"Cox, J.C.M., ""De Heeren van Alkmaer"". Regeerders en regenten, vroedschap en raad, 1264-2005 (Alkmaar 2005)"	0
108	169	Burgers, J.W.J. Registers Hollandse grafelijkheid 1299-1345, UT(http://recources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)(20-06-2014)	0
109	170	Burgers, J.W.J. Registers Hollandse grafelijkheid 1299-1345, WO (http//resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)(20-06-2014)	0
110	171	Fruin, R., De leenregisters van Bewesten Schelde 1470-1535 ('s-Gravenhage 1911), regesten II	0
111	172	Sandberg, G.F. Inventaris van de archieven van de Rekenkamer van Zeeland. Deel II. Gedeponeerde archieven 1189-ca. 1825.	0
112	174	Burgers, J.W.J., Registers Hollandse grafelijkheid, 1299-1345, BR (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (27-01-2015)	0
113	175	Burgers, J.W.J., Registers Hollandse grafelijkheid, 1299-1345, ZE2 (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (27-01-2015)	0
114	176	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, DE (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (27-01-2015)	0
115	177	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, PC (http:// resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (27-01-2015)	0
116	178	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, HE (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (27-01-2015)	0
117	179	Burgers, J.W.J., Registers Hollandse grafelijkheid, 1299-1345, GE (http:// resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (27-01-2015)	0
118	183	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, NH2 (http://resources.huygens.knaw.nl/ registershollandsegrafelijkheid/oorkonde) (10-02-2015)	0
119	190	Fruin, R., [gevonden archieven in] Het archief van prelaat en edelen van Zeeland ('s-Gravenhage 1904)	0
120	191	Fruin, R., [Regesten I,2 bij] Het archief van prelaat en edelen van Zeeland ('s-Gravenhage 1904)	0
121	195	Fruin, R., [Bijlagen van] Het archief van prelaat en edelen van Zeeland ('s-Gravenhage 1904)	0
122	196	Fruin, R., [Bijlagen nr. 16 van] Het archief van prelaat en edelen van Zeeland ('s-Gravenhage 1904)	0
123	197	Fruin, R., [Bijlagen nr. 17 van] Het archief van prelaat en edelen van Zeeland ('s-Gravenhage 1904)	0
124	152	Burgers, J.W.J, Registers Hollandse grafelijkheid, 1299-1345, NH (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde) (20-06-2014)	0
125	198	Waard, C. de. De archieven berustende onder het bestuur der Godshuizen te Middelburg. Inventaris van de oude archieven 1343-1812 (Middelburg 1907)	0
126	199	Maarschalkerweerd-Dechamps, S. Inventaris van het archief van de Heren van Veere 1359-1590 (Veere 1986).	0
127	200	Maarschalkerweerd-Dechamps, S. [Bijlage I bij] Inventaris van het archief van de Heren van Veere 1359-1590 (Veere 1986).	0
128	201	Rekenkamer van Zeeland, Rekenkamer B, inventaris (1565)1597-1805 (1808)	0
129	202	Gooskens, F.A. De Admiraliteit te Veere. Inventaris van het archief en kort overzicht van de geschiedenis tot 1559 (Middelburg 1983)	0
130	203	Fruin, R. Beschrijving eener verzameling charters en papieren afkomstig van de heeren van Beveren en Veere berustende in het Rijks archiefdepot in de provincie Zeeland (1896)	0
131	204	Rekenkamer van Zeeland, Rekenkamer C inventaris (1573) 1597-1805 (1808)	0
132	205	Heeringa, K. Het archief van de Staten van Zeeland en hunne gecommitteerde Raden (1574) 1578-1795 (1799) (Den Haag 1922)	0
133	208	[Charters van de] Familie van Borssele van Brigdamme 1387-1540.	0
134	210	Fruin, R. [Regesten van]Het archief der stad Reimerswaal (Den Haag 1897)	0
135	212	Rekenkamer in Zeeland, Rekenkamer A regesten 1230-1806	0
136	214		0
137	215	R. Fruin, Enqueste ende Informatie upt Stuck van der Reductie ende Reformatie van den Schiltaelen, voertijts getaxeert ende gestelt geweest over de landen van Hollant ende Vrieslant: gedaen in den jaere 1494 (Leiden 1876)	0
138	216		0
139	217	Fruin, R., Enqueste ende Informatie upt Stuck van der Reductie ende Reformatie van den Schiltaelen, voertijts getaxeert ende gestelt geweest over de landen van Hollant ende Vrieslant: gedaen in den jaere 1494 (Leiden 1876)	0
140	220	Fruin, R. Beschrijving eener verzameling charters en papieren afkomstig van Anna van Bourgondie, vrouwe van Ravestein. 1895. Regesten	0
141	221	[Rekeningen] Familie van Borssele van Brigdamme 1387-1540	0
142	222	Jongh, G.J.W. de. Inventaris van het archief van de familie Van Persijn 1419-1950 (Den Haag 2013)	0
143	225	Waard, C. de. [Bijlagen I bij] Inventaris van de archieven der besturen van het eiland Walcheren 1511-1870 ('s-Gravenhage 1904) 2.	0
144	226	Fruin, R. Informacie up den staet faculteyt ende gelegentheyt van de steden ende dorpen van Hollant ende Vrieslant om daernae te reguleren de nyeuwe schiltaele gedaen in den jaere MDXIV (Leiden 1866)	0
145	227	Waterlands Archief; stad Monnickendam (1273) 1403-1813	0
146	153	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, ZH (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
147	229	Waterlands Archief; stad Edam (1310) 1357-1813 (1822)	0
148	230	Waterlands Archief; dorps- en polderbestuur van Katwoude 1322-1796	0
149	231	Waterlands Archief: hoogheemraadschap uitwaterende sluizen in Kennemerland en W-Friesland te Edam 1544-1950	0
150	232	Waterlands Archief; regestenlijst stad Purmerend (1275) 1578-1813 (1824)	0
151	233	Waterlands Archief; stad Edam (1310) 1357-1813 (1822) inventaris nr. 65.	0
152	234	Notarieel archief Edam, inventarisnr. 481-785	0
153	235	Graaf, Ronald de, Oorlog om Holland, 1000-1375 (Hilversum 1996)	0
154	236	Meilink, P.A., bewerkt door H.J.Ph.G. Kaajan, Inventaris van de archieven van de Staten van Holland vóór 1572 (Den Haag 1993)	0
155	241	Sernee, J.M. e.a. Inventaris van het Sint Nicolaas Gasthuis 1362-1991 (online 2015)	0
156	242	Sernee, J. M. e.a. [Regesten bij] Inventaris van het archief van het Sint Nicolaas Gasthuis 1362-1991 (online 2015)	0
157	243	Wijks, E.H. en A.M.J. de Haan. Inventaris van het archief van de familiie van Brienen van de Groote Lindt 1400-1927 (online 2013)	0
158	244	Wijks, E.H. en A.M.J. de Haan. [Regesten bij] Inventaris van het archief van de familie van Brienen van de Groote Lindt 1400-1927 (online 2013)	0
159	245	Gelder, H.E. van en A.M.J. de Haan. Inventaris van het archief van de Haagsche Broederschap van Sint Joris 1453-1850 (online 2012)	0
160	246	Gelder, H.E. van en A.M.J. de Haan. [Regesten bij] Inventaris van het archief van de Haagsche Broederschap van Sint Joris 1453-1850 (online 2012)	0
161	247	Heldring, H. [Regesten bij] Inventaris van het archief van Oostduin, Arendsdorp en Waalsdorp, onderdeel van het familiearchief van Bylandt 1432-1905. (online 2013)	0
162	248	Heldring, H. Inventaris van het archief van Oostduin, Arendsdorp en Waalsdorp, onderdeel van het familiearchief van Bylandt 1432-1905. (online 2013)	0
163	250	Raadsveld, F.Ch.L. Inventaris van het archief van het Sacramentsgeasthuis 1440-1771 (online 2012)	0
164	251	Raadsveld, F.Ch.L. [Regesten bij] Inventaris van het archief van het Sacramentsgasthuis 1440-1771 (online 2012)	0
165	253	Haan, A.M.J. de [Regesten bij] Inventaris van het archief van het Leengoed Kortenbosch 1384-1877 (online 2013)	0
166	254	Laar, J.G. van en E.A.G van den Bent. Inventaris van de archieven van de parochie van de Heilige Jacobus de Meerdere te 's-Gravenhage (1341) 1437-1979. Den Haag 1989.	0
167	256	Drossaers, S.W.A. [Regesten bij] Delftse statenkloosters: Sint-Agatha 1275-1575 (Den Haag 1916)	0
168	259	Drossaers, S.W.A. [Regesten bij] Delftse statenkloosters: Sint Ursula 1275-1575 (Den Haag 1916)	0
169	154	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, WI (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
170	260	Drossaers, S.W.A. [Regesten bij] Delftse statenkloosters: Sint Bartholomeus 1275-1575 (Den Haag 1916)	0
171	261	Drossaers, S.W.A. [Regester bij] Delftse statenkloosters: Sint Anna 1275-1575 (Den Haag 1916)	0
172	265	Hart, G 't en J.E.J. Geselschap. [Regesten bij] Inventaris van de Heilige Geest te Scheveningen 1571-1678. (online 2012)	0
173	266	Haan, A.M.J. de. Inventaris van het archief van de heilige geest en het heilige geesthofje te 's-Gravenhage 1311-1917 (Den Haag 1969)	0
174	267	Aktenarchief eigendomsakten der gemeente 's-Gravenhage, met retroacta, in 1892 geordend en tot op heden voortgezet.	0
175	268	Geselschap, J.E.J. en R, Grootveld. Inventaris van de rechterlijke archieven van 's-Gravenhage (online 2015)	0
176	269	Buy, H. du. Inventaris van het archief van het Leprooshuis 1386-1800 (online 2012)	0
177	270	Vernooij, R.A.M. en H.P.Ros. Inventaris van het dichtlievend kunstgenootschap 'Kunstliefde Spaart Geen Vlijt', sinds 1818 de Hollandsche Maatschappij van Fraaye Kunsten en Wetenschappen, afdeling 's- Gravenhage (1533) 1772-1883. (online 2015)	0
178	271	Peronalia (archiefvormer J. van Zwijndrecht).	0
179	272	Kort, J.C. Inventaris van het archief van de graven van Holland 1189-1581 (ca. 1650) (Den Haag 1981)	0
180	275	Drossaers, S.W.A. [Regester bij] Delftse statenkloosters: Sint Agnes 1275-1575 (Den Haag 1916)	0
181	276	Fruin, R. [Aanhangsel bij] Informacie up den staet faculteyt ende gelegentheyt van de steden ende dorpen van Hollant ende Vrieslant om daernae te reguleren de nyeuwe schiltaele gedaen in den jaere MDXIV (Leiden 1866)	0
182	280	[Cartularium bij] Stukken afkomstig van het kapittel van Utrecht der oud-bisschoppelijke cleresie, kapittel der collegiale kerk te Tholen (1946)	0
183	281	[Charters bij] Stukken afkomstig van het kapittel van Utrecht der oud-bisschoppelijke cleresie, kapittel der collegiale kerk te Tholen (1946)	0
184	284	Felix, D.A. Het archief der ambachtsheerlijkheid St-Annaland, regestenlijst 1922 (1983)	0
185	155	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, ZE (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
186	285	Fruin, R. Inventaris van het archief van het Serment van de werklieden en munters van de Munt van Holland te Dordrecht 1368-1806 (1914)	0
187	286	Fruin, R. [Regesten bij] Inventaris van het archief van het Serment van de werklieden en munters van de Munt van Holland te Dordrecht 1368-1806 (1914)	0
188	289	Waard, C. de. Rijksarchief in Zeeland. Inventaris van kaarten en tekeningen (Middelburg 1916)	0
189	290	Catalogus bij de tentoonstelling: Een verdronken stad - Reimerswaal. (Rijksarchief Zeeland 1971-1972)	0
190	291	Catalogs bij de tentoonstelling: Van centrale kern tot kerncentrale. Geslacht en land van Borssele (Rijksarchief Zeeland 1971)	0
191	292	Schmidt Ernsthausen, A.A.M. Inventaris van de archieven van de Graven van Blois 1304-1397 (Den Haag 1982)	0
192	294	Gouw, J. L. van der. Ambtenaren van het centraal bestuur onder Karel V met betrekking tot de noordelijke gewesten (1243-1554). Den Haag 1952.	0
193	296	Douma, H. Inventaris van het familiearchief Cousebant ca. 1400-1800 (Den Haag 1965)	0
194	298	Klerk, F. H. de. Inventaris van de archieven van Arnemuiden 1431-1857 (1892) (Goes 1996)	0
195	300	Fockema Andreae, S.J. Hoogheemraadschap van Rijnland (Oud Archief Rijnland OAR), 1255-1857.	0
196	303	Kortlang, D.J. Inventaris van de losse aanwinsten van RAZH (Den Haag 2002)	0
197	304	Smit, J. Inventaris van het archief van de Financie van Holland (1515) 1572-1806 (1830)  (Den Haag 1947)	0
198	305	Kaajan, H.J.Ph.G. Inventaris van het archief van mr. Paulus Buys (1572-1578). (Den Haag 1976)	0
199	307	Drossaers, S.W.A. Inventaris van het archief van de Nassause Domeinraad: Raad en Rekenkamer te Breda 1170-1580 (1582) (Den Haag 1948)	0
200	308	Hardenberg, H. Inventaris van het archief van de Heren van Altena (Den Haag 1932)	0
201	309	Hardenberg, H [Regesten bij] Inventaris van het archief van de Heren van Altena (Den Haag 1932)	0
202	310	Smit, J.G., J.W.J. Burgers en E.T. van der Vlist. Bronnen voor de geschiedenis der dagvaarten van de Staten van Zeeland 1318-1572 (Den Haag 2011)	0
203	311	Bruggeman, J. Inventaris van het archief der adellijke Vrouwenabdij van Rijnsburg van de Orde van Benedictus 1179-1574 (Den Haag 1931)	0
204	312	Bruggeman, J. [Regesten bij] Inventaris van het archief der adellijke Vrouwenabdij van Rijnsburg van de Orde van Benedictus 1179-1574 (Den Haag 1931)	0
205	313	Koolen, A.W.M. Inventaris van het archief van de ridderschap en edelen van Holland en West-Friesland 1572-1795 (Den Haag 1982)	0
206	314	Drossaers, S.W.A. Inventaris Delftse statenkloosters: Sint-Agatha 1275-1575 (Den Haag 1916)	0
207	156	Burgers, J.W.J. Registers Hollandse grafelijkheid, 1299-1345, KE (http://resources.huygens.knaw.nl/registershollandsegrafelijkheid/oorkonde)  (20-06-2014)	0
208	315	Drossaers, S.W.A. Inventaris van het archief van de Ontvangers der kloosters binnen en buiten Delft, aangesteld door de Staten van Holland (Den Haag 1916)	0
209	316	Drossaers, S.W.A. Inventaris Delftse statenkloosters: Koningsveld 1275-1575 (Den Haag 1916)	0
