	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Opmerkingen2	Periode	overlijdensdag	overlijdensmaand
34	57	Alderwerelt	van	1.0	4.0	Adriaan Louis	0		Oude en  Nieuwe Struyt	Heenvliet	1739.0	0	1781	0	Buitenlandse adelstitel: baron H.R.R.		1	28.0	7.0
35	58	Valkenburg	van	1.0	4.0	Mattheus Willem	0		Callantsoog		1718.0	0	1784	0			1	2.0	1.0
36	59	Twent	van GelÃ©	1.0		Abraham Catharinus	0		Kortenbosch		1746.0	0	1821	0			1		
37	60	Doom		1.0		Adriaen	0				1693.0	0	1762	0			1	28.0	2.0
38	61	Bleyswijk	van	1.0	4.0	Hugo	0				1677.0	0	1755	0			1	5.0	11.0
39	62	Vapour	van der Graeff de	1.0	4.0	Hendrik	0		Wulven		1709.0	0	1778	0	Persoonsgegevens: Van der Lely geeft overlijdensdatum 8 mei, Algemeen Nederlandsch Familieblad 8 december.		1	8.0	12.0
40	63	Lelij	van der	1.0	4.0	Jacob Adriaensz.	0				1698.0	0	1795	0			1		
41	64	Echten	van	1.0	4.0	Salomon	0				1694.0	0	1776	0			1	3.0	2.0
42	66	Speelman		1.0	4.0	Jacob	0		Nuland		1724.0	0	1781	0			1		
43	67	Locquet		1.0	4.0	Pieter	0		Burg		1719.0	1	1789	0		Persoonsgegevens: begraven op 5 mei.	1		
44	68	Mauregnault	Boreel de	1.0	4.0	Jan	0				1741.0	0	1813	0			1	27.0	4.0
45	69	Melvill		1.0	4.0	Jan	0				1740.0	0	1788	0			1		
46	70	Bouwens		1.0	4.0	Jan Jansz.	0		Horsen		1725.0	0	1788	0			1	21.0	12.0
47	71	Griffioen		1.0	3.0	Willem	0				1722.0	0	1796	0			1		
48	72	Pichot		1.0		Daniel	0				1722.0	0	1803	0			1		
49	73	Ravens		1.0	4.0	Caspar Jacob	0				1703.0	1	1787	0			1	5.0	3.0
50	74	Carnier		1.0	3.0	Carolus	0				1738.0	0	1817	0			1		
51	75	Gijselaar	de	1.0	4.0	Nicolaas	0				1712.0	0	1780	0			1		
52	76	Leyden	van	1.0	4.0	Pieter	1	jonkheer	Nieuwland		1726.0	0	1786	0	Buitenlandse adelstitel: baron H.R.R.		1	12.0	10.0
53	77	Vooren	van der	1.0		Jacobus jr.	0					0		0			1		
54	78	Jager		1.0		Jan	0				1743.0	0	1801	0			1	27.0	11.0
55	79	Hart	de	1.0	4.0	Hermanus	0				1753.0	0	1819	0			1		
56	80	Reeps		1.0	3.0	Jan	0				1710.0	0	1769	0			1	17.0	2.0
57	81	Tromp	Abbekerk	1.0		Floris	0				1721.0	0	1783	0			1	26.0	12.0
58	82	Strijen	van	1.0	4.0	Quirijn	0				1718.0	0	1790	0			1		
59	83	Burch	van der	1.0	4.0	Cornelis	0				1730.0	0	1769	0			1		
60	84	Meerten	van	1.0	4.0	Lambertus Huibertsz.	0				1733.0	0	1798	0			1		
61	85	Collot d'Escury		1.0		Simeon Petrus	1	jonkheer	Naaldwijk	Sliedrecht	1719.0	0	1800	0	Heerlijkheden: verwerving Naaldwijk 1742, Sliedrecht 1759.		1		
62	86	Berkhout	Teding van	1.0	4.0	Jan Pietersz.	0				1713.0	0	1766	0			1	2.0	10.0
63	87	Boogert		1.0	3.0	"FranÃ§ois FranÃ§oisz.


FranÃ§ois"	0				1733.0	0	1797	0			1		
64	88	Vlaerdingerwout		1.0	4.0	Willem Robbertsz.	0				1702.0	0	1782	0			1	20.0	7.0
65	89	Goes	van der	1.0		Adriaen Mattheusz.	0				1695.0	0	1758	0			1	1.0	12.0
66	90	Hoogeveen	van	1.0	4.0	Gerard Adriaensz.	0				1729.0	0	1797	0			1		
67	91	Cats	van	1.0		Jacob	1	jonkheer	Heiloo en Oosdom	Ter Coulster, Kats, Veenhuizen	1703.0	0	1773	0	Overig: werd op 14 januari 1773 door de Staten van Holland benoemd tot gecommitteerde in de Admiraliteit in het Noorderkwartier. Een commissie van de Staten-Generaal werd voor deze functie echter niet aangetroffen, waarschijnlijk omdat Van Cats overleed vÃ³Ã³r sessiename.		1		
68	92	Pomeren	van	1.0		Cornelis	0				1693.0	0	1762	0		ov. 20-11 (mededeling Peter Swart) yy zoek nog inv. Gonnet voor nummer	1	20.0	11.0
69	93	Nahuijs		1.0	4.0	Hubert Gerard	0				1725.0	0	1771	0		Persoonsgegevens: begraven op 8 juni.	1		
70	94	Foreest	van	1.0	4.0	Jacob	0		Petten	Nolmerban	1731.0	0	1783	0	Heerlijkheden: verwerving 1745.		1		
71	95	Wallendal	van	1.0		Jan	0				1707.0	0	1789	0			1		
72	96	Neelen		1.0		Cornelis	0				1717.0	0		0			1		
73	97	Pont		1.0	4.0	Pieter	0				1722.0	0	1783	0			1		
74	98	Sanen	van	1.0	4.0	Arend	0				1721.0	0	1787	0		Persoonsgegevens: begraven op 28 juni.	1		6.0
75	99	Uijlenberg		1.0		Pieter	0				1704.0	0	1781	0			1		
76	100	Zuylen van Nyevelt	van	1.0	4.0	Jacob	0				1699.0	0	1753	0			1	28.0	3.0
77	101	Staal	van der	1.0	4.0	Dirk Cornelis	0		Kethel	Spaland	1705.0	0	1772	0			1	6.0	10.0
78	102	Honert	van den	1.0	4.0	Johannes	0				1704.0	0	1768	0			1		
79	103	Hoeven	van der	1.0	4.0	Johan Adriaan	0				1732.0	0	1800	0			1		
80	104	Berckel	van	1.0	4.0	Pieter Johan	0		Uitwijk	Nederveen	1725.0	0	1800	0			1		
81	105	Boogaert		1.0	4.0	Jacob Philippus	0		Alblasserdam		1735.0	0	1796	0			1		
82	106	Groeninx van Zoelen		1.0	4.0	Cornelis	0		Ridderkerk		1740.0	0	1791	0			1		
83	107	Mossel		1.0	4.0	Jacob	0				1739.0	0	1797	0			1		
84	108	Mieden	van der	1.0	4.0	Gualtherus George Gideon	0				1736.0	0	1798	0	Persoonsgegevens: De Nederlandsche Leeuw schrijft hem, blijkens het Alkmaars Jaarboekje, ten onrechte het bezit van de heerlijkheid Opmeer toe.		1	19.0	11.0
85	109	Dijl		1.0	4.0	Lukas	0				1747.0	0	1822	0	Vroedschap: ontslagen 1788		1	7.0	10.0
86	110	Oosten	van	1.0		GabriÃ«l Leonard	0				1745.0	0	1819	0			1		
87	111	Blankert		1.0	3.0	Jan	0					0		0			1		
88	112	Kempen	van	1.0		Johannes	0				1739.0	0	1814	0	"Persoonsgegevens: Gens Nostra geeft patroniem 'Tzn.'; Nederland's Patriciaat geeft 'Johannes' als naam van de vader. Omdat Nederland's Patriciaat vermeldt dat Van Kempen vroedschap was, en er in deze periode daarin geen gelijknamige persoon zitting had, is aangenomen dat het toch om dezelfde persoon gaat.
Vroedschap: ontslagen 1787."		1		
89	113	Bosschaert		1.0	4.0	Carel Jan	0				1734.0	0	1809	0			1		
90	114	Morgan		1.0		Jacob	0					0		0			1		
91	115	Wit	de	1.0	4.0	Adriaan Mattheus	0					0	1805	0			1		
92	116	Steenis	de Swart	1.0	4.0	Jeronimus	0					0	1758	0			1	2.0	1.0
93	117	Alsem van Lingen	van	1.0	3.0	Carel	0					0	1797	0			1		
94	118	Bruijn		1.0		Gerrit	0				1740.0	0		0			1		
95	119	Boon		1.0		Philippus Reinier	0				1731.0	0	1798	0			1		
96	120	Peereboom	Copius	1.0	4.0	Martin	0				1751.0	0	1824	0			1	25.0	6.0
97	121	Peereboom		1.0	4.0	Lourens	0				1723.0	0	1788	0			1		
98	122	Nispen	van	1.0		Samuel Rudolphus	0				1733.0	0	1775	0			1		
99	123	Pont		1.0		Frans	0				1753.0	0	1808	0			1		
100	124	Pan		1.0	4.0	Jan	0				1735.0	0		0			1		
101	125	Lange	de	1.0	3.0	Huijbert Geldolph	0				1741.0	0	1800	0			1	24.0	3.0
102	126	Waert	van	1.0	3.0	Jacob Hendriksz.	0				1744.0	0	1804	0	Persoonsgegevens: Gens Nostra geeft geboortejaar 1742, Bossaers 1744.		1		
103	128	Boot		1.0	4.0	Roelof	0				1735.0	0	1794	0	Persoonsgegevens: Nederlandsche Leeuw geeft afwijkend geboortejaar 1736.		1		
104	129	Duyvensz.		1.0	4.0	Anthony Pieter	0				1745.0	0	1819	0			1	22.0	6.0
105	130	Appelman		1.0	4.0	Jan Lambertus	0				1730.0	0	1787	0			1	9.0	7.0
106	131	Dieu	de	1.0		Daniel Carel	0				1748.0	0	1801	0	Persoonsgegevens: Bruinvis geeft afwijkend jaar van overlijden 1800.		1		
107	132	Druyvesteyn		1.0	4.0	Francois David Constantijn	0				1758.0	0	1803	0			1		
108	133	Hanswijk	van	1.0	4.0	Johannes Willem	0					0	1808	0			1		
109	134	Willigen	van de	1.0	4.0	Abel	0				1726.0	0	1799	0			1	18.0	7.0
110	135	Honert	van den	1.0	4.0	Rochus	0				1572.0	0	1638	0	"Buitenlandse adelstitel: Zweedse riddertitel 1635
Overig: was volgens Nederlandsche Leeuw gedeputeerde ter Staten-Generaal 1598, maar dat wordt door andere bronnen niet bevestigd."		1	30.0	1.0
111	136	Honert	van den	1.0	4.0	Johan Rochusz.	0				1603.0	1	1667	0			1	14.0	4.0
112	137	Honert	van den	1.0	4.0	Herman	0				1645.0	0	1730	0	Persoonsgegevens: Nederlandsche Leeuw geeft afwijkend geboortejaar 1646		1		
113	138	Brandeler	van den	1.0	4.0	Johan FranÃ§oisz.	0				1667.0	0	1755	0			1		
114	139	Eelbo		1.0		Roelof Roelofsz.	0		Molenaarsgraaf		1682.0	0	1738	0	Heerlijkheid: verwerving 1731.		1	13.0	1.0
115	140	Hallincg		1.0	4.0	Adriaan	0				1681.0	0	1741	0			1		
116	141	Witt	de	1.0	4.0	Cornelis Jacobsz.	0				1623.0	0	1672	0			1		
117	142	Witt	de	1.0		Jacob Fransz.	0				1548.0	0	1621	0			1		
118	143	Witt	de	1.0		Cornelis Fransz.	0				1545.0	0	1622	0			1		
119	144	Witt	de	1.0		Thomas Wilemsz.	0				1548.0	0	1601	0			1	1.0	12.0
120	145	Witt	de	1.0	4.0	Jacob Cornelisz.	0		Manizee	Melissant, Cromstrijen	1589.0	0	1674	0			1		
121	146	Hoeufft		1.0	4.0	Jacob	0				1660.0	0	1717	0			1		
122	147	Witt	de	1.0	4.0	Johan Johansz.	0				1618.0	0	1676	0			1		
123	148	Witt	de	1.0	4.0	Johan Johansz.	0				1668.0	0	1724	0			1	29.0	4.0
124	149	Brandwijk	van	1.0		Willem	0		Blokland		1626.0	0	1696	0	Heerlijkheid: verwerving 1646.		1	29.0	3.0
125	150	Blijenburg	van	1.0	4.0	Adriaen Adriaensz.	0		Naaldwijk		1616.0	0	1682	0	Buitenlandse adelstitel: ridder in de orde van St. Michiel (Frankrijk).		1	10.0	9.0
126	151	Teresteijn	van	1.0		Cornelis	0				1579.0	0	1643	0			1	22.0	3.0
127	152	Ruysch		1.0	4.0	Coenraad	0				1583.0	0	1656	0	Buitenlandse adelstitel: ridder H.R.R. 1649		1		
128	153	Burch	van der	1.0	4.0	Johan FranÃ§oisz.	1		Niemandsvriend		1613.0	0	1688	0			1		
129	154	Burch	van der	1.0	4.0	FranÃ§ois Jansz.	1				1574.0	0	1624	0			1		
130	155	Beaumont	van	1.0		Simon	0				1588.0	0	1637	0			1		
131	156	Wassenaer	van	3.0		Willem	1		Starrenburg	Ruiven, Maasland, Maassluis	1649.0	0	1723	0	Overig: H.G.A. Obreen, Geschiedenis van het geslacht van Wassenaer (Leiden 1903), meent dat Van Wassenaer in 1706 gecommitteerd werd in de Admiraliteit op de Maze, maar dit betrof hoogstwaarschijnlijk zijn zoon Willem Lodewijk (1676-1720, zie bij hem).		1	6.0	8.0
132	157	Wassenaer	van	3.0		Jacob	1		Duvenvoorde	Voorschoten, Veur	1649.0	0	1707	0	Heerlijkheden: verwerving Voorschoten 1668, Veur 1681.		1	11.0	6.0
133	158	Wassenaer van Obdam	van	4.0		Johan Hendrik	1		Obdam	Hensbroek, Spierdijk, Zuidwijk	1683.0	0	1745	0			1	5.0	2.0
134	159	Boetzelaer van Nieuwveen	van den	1.0		Jacob Godefroi	1		Nieuwveen		1680.0	0	1736	0	"Buitenlandse adelstitel: baron H.R.R.
Heerlijkheden: verwerving 1708."		1	4.0	12.0
135	160	Boetzelaer	van den	1.0		Philip Jacob	1	jonkheer	Asperen	Hoogwoud en Aartswoud, Raaphorst (nomine uxoris)	1634.0	0	1688	0	"Buitenlandse adelstitel: H.R.R. vrijheer
Heerlijkheden: verwerving Asperen 1652, Hoogwoud en Aartswoud 1642."		1	24.0	3.0
136	161	Bouchorst	van den	1.0		Amelis	1	jonkheer	Wimmenum			0	1669	0			1	21.0	9.0
137	162	Poelgeest van Homade	van	5.0		Gerrit	1		Hoogmade		1545.0	0	1614	1			1		
138	163	Does van Noordwijk	van der	1.0		Wigbold	1	jonkheer	beide Noordwijken	Offem, Langeveld, St. Anthoniepolder	1676.0	0	1725	0	Heerlijkheden: verwerving St. Anthoniepolder 1699.		1	24.0	4.0
139	164	Does van Noordwijk	van der	1.0		Steven	1	jonkheer	Noordwijk	Offem	1644.0	0	1694	0			1	3.0	10.0
140	165	Crayesteyn	van	1.0		Wouter Bouwensz.	0		Wulven	Kraaienstein		0	1624	0	Vroedschap: Balen geeft afwijkend aanvangsjaar 1580.		1		
141	166	Matenesse	van	1.0		Johan	1	jonkheer	Matenesse	Riviere, Opmeer	1596.0	0	1653	0			1	30.0	6.0
142	167	Beveren	van	1.0	4.0	Abraham	0		Oost- en West-Barendrecht		1604.0	0	1663	0			1	25.0	8.0
143	168	Beveren	van	1.0	4.0	Cornelis Willemsz.	0		Strevelshoek	West-IJsselmonde, de Lindt	1591.0	0	1663	0	Buitenlandse adelstitel: Franse riddertitel 1635.		1	17.0	7.0
144	169	Beveren	van	1.0		Willem Cornelisz.	0		Strevelshoek		1556.0	0	1631	0	Heerlijkheid: verwerving 1593.		1	18.0	7.0
145	170	Beveren	van	1.0		Jacob Cornelisz.	0		Zwijndrecht		1612.0	0	1676	0			1		
146	171	Briel		1.0	4.0	Herbert Paulusz.	0				1670.0	0	1737	0	Persoonsgegevens: Kronieken geeft onjuist jaar van overlijden 1734.		1	13.0	3.0
147	172	Kinschot	van	1.0	4.0	Gaspar Gasparsz.	0				1676.0	0	1759	0			1		
148	173	Born	van den	1.0	4.0	FranÃ§ois Nicolaes Nicolaesz.	0				1674.0	0	1748	0			1	23.0	6.0
149	174	Pauw		1.0	4.0	Maerten Engelbertsz.	0				1616.0	0	1680	0	Vroedschap: ontslag in 1662 wegens benoeming tot ontvanger-generaal van Holland.		1		
150	175	Boetzelaer	van den	1.0		Rutger	1	jonkheer	Asperen	Langerak, Merwede, Carnisse	1534.0	0	1604	0	Heerlijkheden: bezit Langerak 1588-1598, Merwede 1591-1598.		1		
151	176	Goes	van der	1.0	4.0	Franco Adriaensz.	0				1621.0	0	1700	0	Persoonsgegevens: was volgens Boitet in 1679 70 jaar oud, waarmee het jaar van geboorte zou liggen in 1608 of 1609.		1	18.0	7.0
152	177	Hoeff	van der	1.0		Adriaen Willemsz.	0				1631.0	0	1704	0			1	10.0	11.0
153	178	Meerman		1.0		Dirck Gerritsz.	0		Molenaarsgraaf	Voorburg	1610.0	0	1680	0	"Vroedschap: ontslagen 1672.
Buitenlandse adelstitel: ridder (land onbekend).
Heerlijkheden: verwerving Voorburg 1661."		1		
154	179	Hoogenhouck	van	1.0	4.0	Maerten Pietersz.	0				1651.0	0	1720	0	"Persoonsgegevens: Kronieken en Boitet geven afwijkende overlijdensdatum 25 in plaats van 27 december.
Veertigraad: Boitet geeft afwijkend aanvangsjaar 1687."		1	27.0	12.0
155	180	Graswinckel		1.0		Engelbrecht Maertensz.	0				1653.0	0	1738	0			1	10.0	6.0
156	181	Spiering		1.0		Cornelis Willemsz.	0		Spieringshoek		1663.0	0	1745	0			1	29.0	4.0
157	182	Hooft		1.0		Willem Hendriksz.	0				1661.0	0	1740	0			1	15.0	1.0
158	183	Berkel	van	1.0	4.0	Willem Gerardsz.	0				1679.0	0	1759	0	Persoonsgegevens: Kronieken geeft afwijkende overlijdensdatum 20 december in plaats van 20 november.		1	20.0	11.0
159	184	Dussen	van der	1.0	4.0	Arent Bruinsz.	0				1683.0	0	1742	0	Persoonsgegevens: Van der Lely geeft onjuist jaar van overlijden 1730.		1	20.0	6.0
160	185	Vredenburch	van	1.0	4.0	Adriaen Jacobsz.	0				1680.0	0	1759	0			1	5.0	11.0
161	186	Ingilby		1.0		Dirk Willemsz.	0				1690.0	0	1748	0			1		
162	187	Matenesse	van	1.0		Johan	1	jonkheer	Matenesse	Riviere	1533.0	0	1602	0	"Persoonsgegevens: d'Ablaing van Giessenburg geeft afwijkend geboortejaar 1538; Wapenheraut geeft afwijkend jaar van overlijden tussen 1598 en 1600.
Ridderschap: Wapenheraut geeft afwijkend aanvangsjaar 1568.
Overig: Volgens ResolutiÃ«n der Staten-Generaal (zie institutionele toelichting Staten-Generaal) aanwezig bij vergaderingen 1593, 1595-1598, maar niet duidelijk of dat als ordinaris of extraordinaris gedeputeerde was. Geen benoeming door Staten van Holland aangetroffen."		1		
163	188	Wassenaer van Duvenvoirde	van	1.0		Johan	1	jonkheer	Duvenvoorde	Woud, Starrenburg, Veur, Voorschoten	1577.0	0	1645	0	Heerlijkheden: verwerving Starrenburg, Veur 1600, Voorschoten 1615.		1	27.0	4.0
164	189	Beyeren van Schagen	van	1.0		Johan	1	jonkheer	Schagen	Oud- en Nieuw-Goudriaan	1544.0	0	1618	0	Heerlijkheden: verwerving Schagen 1550, Oud- en Nieuw-Goudriaan 1572.		1		
165	190	Dussen	van der	1.0		Ewout Jacobsz.	0				1574.0	0	1653	0	Buitenlandse adelstitel: ridder (land onbekend).		1	16.0	5.0
166	191	Goes	van der	1.0	4.0	Andries Adriaansz.	0		Naters		1619.0	0	1669	0			1	4.0	12.0
167	192	Goes	van der	1.0	4.0	Adriaan Andriesz.	0		Naters	Pancrasgors, Natendoele	1649.0	0	1721	0	Persoonsgegevens: Kronieken noemt hem Andries Adriaensz.		1	25.0	3.0
168	193	Santen	van	1.0		Gerrit Beuckelsz.	0					0	1634	0	"Persoonsgegevens: overlijdensdatum volgens Boitet, Nederlandsche Leeuw en Kronieken 16 juli 1635, volgens De Vries 16 juli 1634.
Overig: volgens Kronieken gecommitteerde in de Admiraliteit van Zeeland 1618-1631, maar dit wordt door andere bronnen niet bevestigd."		1	16.0	7.0
169	194	Duyst van Voorhout		1.0		Johan Hendriksz.	0				1581.0	0	1666	0			1	12.0	5.0
170	195	Vredenburch van Adrichem	van	1.0	4.0	Jacob Adriaensz.	0		Adrichem		1643.0	0	1714	0			1	5.0	10.0
171	196	Admiraal		1.0	4.0	Simon	0				1641.0	1	1724	0			1	2.0	3.0
172	197	Alewijn		1.0	4.0	Abraham	0				1707.0	0	1755	0			1	9.0	7.0
173	198	Bichon Visch		1.0	4.0	Jacob Bastiaan	0				1752.0	0	1834	0			1		
174	199	Bleyswijk	van	1.0	4.0	Johan	0				1684.0	0	1748	0	Persoonsgegevens: Algemeen Nederlandsch Familieblad en De Riemer geven afwijkende overlijdensdatum 13 in plaats van 14 april.	MAAR EINDE HR 13-3?? zie poelgeest yy	1	14.0	4.0
175	200	Broeck	van den	1.0	4.0	Willem	0		Vrijhoven		1647.0	0	1726	0			1	22.0	9.0
176	201	Buys		1.0	4.0	Berent Willem	0				1716.0	0	1763	0			1	5.0	5.0
177	202	Dierkens		1.0	4.0	Willem Hendrik	0				1711.0	0	1776	0			1	4.0	4.0
178	203	Does	van der	1.0	4.0	Johan	0				1694.0	0	1749	0			1	1.0	12.0
179	204	Fremeaux		1.0	4.0	Abraham Pieter	0				1755.0	0	1798	0			1		
180	205	Graafland		1.0	4.0	Gillis	0				1730.0	0	1796	0			1		
181	206	Graafland		1.0	4.0	Johan Philip	0				1756.0	0	1828	0			1		
182	207	Grande	de	1.0	4.0	Adriaan	0				1682.0	0	1763	0			1	9.0	8.0
183	208	Hees	van	1.0	4.0	Hendrik	0		de Tempel	Berkel en Rodenrijs	1684.0	0	1754	0	Heerlijkheden: verwerving Berkel en Rodenrijs 1744.		1	4.0	8.0
184	209	Hees	van	1.0	4.0	Anthony Hendrik	0		de Tempel	Berkel en Rodenrijs	1724.0	0	1768	0			1	17.0	9.0
185	210	Hoeufft		1.0	4.0	Pompejus	0				1702.0	0	1787	0			1	21.0	11.0
186	211	Hoog		1.0	4.0	Thomas	0				1716.0	0	1781	0			1	27.0	2.0
187	212	Hoop	van der	1.0	4.0	Cornelis	0				1716.0	0	1781	0			1	10.0	3.0
188	213	Hop		1.0	4.0	Cornelis	0				1620.0	0	1704	0			1	5.0	11.0
189	214	Hop		1.0	4.0	Johannes	0				1709.0	0	1772	0			1		
190	215	Nispen	van	1.0	4.0	Johan	0				1700.0	0	1776	0			1	7.0	1.0
191	216	Persijn	van	1.0	4.0	Govert Jan	0				1724.0	0	1809	0			1		
192	217	Rooseboom		1.0	4.0	Hubertus	0		Schrevelsrecht		1634.0	0	1722	0			1	4.0	10.0
193	218	Roovere	de	1.0	4.0	Pompejus	0				1664.0	0	1742	0			1	24.0	8.0
194	219	Ruster	van	1.0	4.0	Abraham	0				1704.0	0	1754	0	Persoonsgegevens: De Riemer geeft afwijkende overlijdensdatum 10 in plaats van 18 maart.		1	18.0	3.0
195	220	Santheuvel	van den	1.0	4.0	Diederik	0				1665.0	0	1718	0			1	8.0	9.0
196	221	Santheuvel	van den	1.0	4.0	Adriaan	0				1701.0	0	1778	0			1	16.0	2.0
197	222	Schaep		1.0	4.0	Reinier	0				1656.0	0	1734	0			1	2.0	7.0
198	223	Scholten van Oud-Haarlem		1.0	4.0	Willem	0		Oud-Haarlem		1751.0	0	1816	0			1		
199	224	Spaan	van	1.0	4.0	Pieter	0				1748.0	0		0			1		
200	225	Sluysken		1.0	4.0	Willem	0		Ter Horst		1673.0	0	1725	0			1	13.0	4.0
201	226	Visscher		1.0	4.0	Adolf	0				1686.0	0	1746	0			1	3.0	3.0
202	227	Vries	de	1.0	4.0	Feltrum	0				1659.0	0	1723	0	Persoonsgegevens: De Riemer geeft afwijkende overlijdensdatum 11 in plaats van 13 augustus.		1	13.0	8.0
203	228	Bisdom	Wijckerheld	1.0	4.0	Dirk Rudolph	0				1740.0	0	1814	0			1	3.0	4.0
204	229	Gerlings		1.0	4.0	Cornelis	0				1699.0	0	1756	0			1	20.0	3.0
205	230	Haer	van der		4.0	Johan	0				1655.0	0	1726	0			1	2.0	1.0
206	231	Haer	van der	1.0	4.0	Nicolaas	0				1688.0	0	1742	0			1	22.0	11.0
207	232	Hartman		1.0	4.0	Charles Antonie	0				1747.0	0	1821	0			1		
208	233	Hees	van	1.0	4.0	Herman	0		Berkel en Rodenrijs		1728.0	0	1786	0			1	13.0	7.0
209	234	Pauw		1.0	4.0	Iman Maartensz.	0				1715.0	0	1779	0	Persoonsgegevens: De Nederlandsche Leeuw geeft afwijkend geboortejaar 1716.		1	1.0	8.0
210	235	Mol		1.0	4.0	Johan	0				1692.0	0	1750	0	Persoonsgegevens: De Riemer geeft afwijkende overlijdensdatum 3 in plaats van 2 april.		1	2.0	4.0
211	236	Mollerus		1.0	4.0	Adriaan	0		Westkerke	Wulpendaal	1740.0	0	1809	0			1		
212	237	Vallensis		1.0	4.0	Gerard	0				1685.0	0	1715	0	Persoonsgegevens: De Riemer geeft afwijkende overlijdensdatum 21 in plaats van 25 januari.		1	25.0	1.0
213	238	Velde	van der	1.0	4.0	Pieter	0					0	1710	0			1	1.0	4.0
214	239	Bisdom		1.0	4.0	Jacob	0				1696.0	0	1762	0	Persoonsgegevens: Algemeen Nederlandsch Familieblad geeft afwijkende overlijdensdatum 12 april in plaats van 12 mei.		1	12.0	5.0
