	IDBron	Bron	Periode
31	58	J.A. van Lanschot Hubrecht, Zeven generaties van het uitgestorven Leidse geslacht Van Lanschot en vijftien generaties van het geslacht Hubrecht (Van Lanschot Hubrecht), geplaatst in historisch perspectief, 1515-1983 (manuscript CBG 1984)	
32	61	J. Geselschap, Alfabetische naamlijst van de vroedschap van Gouda, 1559-1795 (Gouda 1975)	
33	63	Cornelis van Zomeren, Beschrijvinge der stadt Gorinchem en Landen van Arkel, benevens der aloude en adelyke geslagten der doorlugtige Heeren van Arkel (Gorinchem 1755) 499-584.	
34	65	Th. Jorissen, Memorien van mr. Diderik van Bleyswijk, 1734-1755. Werken uitgegeven door het Historisch Genootschap te Utrecht, Nieuwe serie 45 (Utrecht 1887)	
35	66	H. de Jager, Het geslacht Tromp (Rotterdam 1883)	
36	67	F.H.J. van Aesch, âDe dijkgraven van de Krimpenerwaard, 1608-hedenâ, Historische Encyclopedie Krimpenerwaard 6 (1981), nr. 4.	
37	70	H.A.M. Roelants, Gulden boek van Schiedam (Amsterdam 1900)	
38	72	'Genealogie van de Familie Boelisz en aanverwante geslachten'. Handschrift in het Familiedossier Boelisz (CBG, collectie Verloren)	
39	75	Johan van Oldenbarnevelt. Bescheiden betreffende zijn staatkundig beleid en zijn familie II. A.J. Veenendaal ed. (Den Haag 1962)	
40	77	J.W. Koopmans, De Staten van Holland en de Opstand. De ontwikkeling van hun functies en organisatie in de periode 1544-1588 ('s-Gravenhage 1990)	
41	78	H.W. Saaltink, 'Bernardus Blok, een rebelse regent', Holland 19 (1987) 233-245.	
42	79	J.R. Persman, 'De bestuursorganisatie in West-Friesland en het Noorderkwartier vanaf de eerste vergadering van de Staten van Noord-Holland in 1573 tot en met 1795', West-Frieslands oud en nieuw 40 (1973) 136-160.	
43	80	A. Merens, De geschiedenis van een Westfriese regentenfamilie. Het geslacht Merens ('s-Gravenhage 1957)	
44	81	J.H. van Rombach, Inventaris van de archieven van de families Van Foreest, Van Egmond van de Nijenburg, etc.., (Alkmaar 1992)	
45	84	M.M. de Wolf en M.W. de Wolf, Het Enkhuizer regentengeslacht Van Loosen en aanverwante geslachten (âs-Gravenhage 1972)	
46	113	J.W. des Tombe, Het geslacht Van den Boetzelaer (Assen 1969)	
47	114	Namen van de wel ed. gr. achtbare heeren, regeerders der stad Enchuysen, mitsgaders bewindhebberen van de Oost- en West-Indische Compagnien etc. (Enkhuizen z.d.)	
48	115	Naam-register van de heeren van de regeering der stad Haarlem [...] (Haarlem 1733) Koninklijke Bibliotheek, signatuur 393 E 17, met aanvullingen tot en met 1771; andere exemplaren met aanvullingen tot 1795)	
49	116	Holland. Regionaal historisch tijdschrift (Den Haag 1969- )	
50	117	C.W. Bruinvis, De Alkmaarsche vroedschap tot 1795 (Z.pl., z.d.)	
51	119	Theodorus Velius en Sebastiaan Centen, Chronyk van Hoorn (Hoorn 1740)	
52	120	Reinier Boitet, Beschryving der stadt Delft (Delft 1729)	
53	121	Naamwyser, waar in vertoond werden de naamen van de Ed. Achtb. H.H. regenten der stad Leyden (Leiden 1688)	
54	122	S.W.R. Strzelczyk, Schiedamse regenten 1710-1740 (ongepubliceerde doctoraalscriptie Leiden 1983) Bijlage 8: personenregister	
55	123	M.E. van Rijn, Wroeten in de vroedschap. Delftse regentenfamilies in de eerste helft van de 18e eeuw (ongepubliceerde doctoraalscriptie Leiden 1985) Bijlage D	
56	124	F. Ch. Meijer, De vroedschap van Schiedam. Een maatschappelijke en politieke plaatsbepaling van de Schiedamse vroedschap gedurende de patriottentijd en de restauratie (doctoraalscriptie Leiden 1986; bijlagen blz. 94-96)	
57	125	Jaarboek van het Centraal Bureau voor Genealogie en het Iconographisch Bureau ('s-Gravenhage 1947- )	
58	126	H.F.K. van Nierop, Van ridders tot regenten. De Hollandse adel in de zestiende en zeventiende eeuw (Den Haag 1984)	
59	127	W.J. d' Ablaing van Giessenburg, De ridderschap van Holland (manuscript Centraal Bureau voor Genealogie Den Haag 1850)	
60	128	Sterling Andre Lamet, Men in government: the patriciate of Leiden, 1550-1600 (proefschrift Universiteit van Massachusetts 1979)	
61	129	Pieter van Meghelen, Register van de regering tot Edam beginnende voor zoo veel men vinden kan van 't jaar 1572 (manuscript Rijksarchief Noord-Holland, collectie losse aanwinsten, inv. nr. 104)	
62	130	Nationaal Archief	
63	131	D.J. Noordam, Databestand Leidse veertigraad (berust bij de auteur)	
64	132	Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983)	
65	133	C.A. Siegenbeek van Heukelom-Lamme, Album scholasticum academiae Lugduno-Batavae MDLXXV-MCMXL (Leiden 1941)	
66	134	De Nederlandsche Leeuw ('s-Gravenhage 1883-)	
67	135	Algemeen Nederlandsch Familieblad (1883-1905)	
68	136	De Wapenheraut ('s-Gravenhage 1897-1920)	
69	137	Genealogische en heraldische bladen (1906-1915)	
70	138	Heraldieke bibliotheek (1872-1883)	
71	139	J. Belonje, Ter Coulster (Wormerveer 1946)	
72	141	Gens Nostra (Amsterdam 1945-)	
73	142	H.G.A. Obreen, Geschiedenis van het geslacht van Wassenaer (Leiden 1903)	
74	143	Simon van Leeuwen, Batavia illustrata, ofte verhandelinge van den oorspronk, voortgank, zeden, eere, staat en godtsdienst van Oud Batavien, mitsgaders van den adel en regeringe van Hollandt ('s-Gravenhage 1685)	
75	144	G.W. Vreede, 'Hooge Raad van Holland, Zeeland en West-Friesland', Jaarboekje van de regterlijke magt in het Koningrijk der Nederlanden 1 (1839) 3-56 (achterin gebonden, met nieuwe nummering)	
76	145	De Navorscher (Amsterdam 1851- )	
77	146	Waterlands archief	
78	147	Jaarverslag Vereniging Oud Monnickendam	
79	148	Gemeentearchief Delft	
80	149	Kronieken. Tijdschrift van de Genealogische Vereniging Prometheus (Delft 1992- )	
81	150	Westfries Archief	
82	151	A.J. van der Aa, Biographisch woordenboek der Nederlanden (12 dln., Haarlem 1852-1878)	
83	152	Lyst der edele mogende heeren gecommitteerde raaden van Zeeland, sedert de opregting van het collegie in het jaar 1578, en der ministers van die provintie (z.d., z.p.)	
84	153	A. Romeijn, âalles ten meesten oirboir van de stad.â De stadsregering van Tholen (1577-1702) (Giessen 2001)	
85	154	Naamwijzer van Middelburg (Stichting Genealogische Publikaties Zeeland, Den Helder/Vlissingen 1997)	
86	155	A.J. Mensema, De ridderschap van Overijssel 1460-1795 (3 dln., Zwolle 1993)	
87	156	K. Schilder, Anthony van Mierlo's register van Overijsselse ambtenaren (Kampen 1984)	
88	157	K. Schilder, Van raad tot municipaliteit (3 dln., Kampen 1985)	
89	158	J.C. Streng, 'Stemme in staat'. De bestuurlijke elite in de stadsrepubliek Zwolle (Hilversum 1997)	
90	159	Overijsselse Historische Bijdragen (Zwolle 1977-)	
91	160	Caspar van Heel, 400 jaar gedeputeerde staten van Overijssel (Zwolle 1993)	
92	162	J. van Doorninck, Geslachtkundige aanteekeningen ten aanzien van de gecommitteerden ten landdage van Overijssel zedert 1610-1794 met eenige berigten omtrent de voormalige havezathen in dat gewest (Deventer 1869)	
93	165	Zeeuws archief	
94	166	De magistraet der stadt Middelburgh, die geregeert hebben sedert anno 1560 (Middelburg 1694)	
95	169	A.P. van Nienes en M. Bruggeman, Archieven van de Friese stadhouders (Leeuwarden 2002)	
96	173	J.H.W. Unger, De regeering van Rotterdam 1328-1892 (Rotterdam 1892)	
97	174	A.J.C.M. GabriÃ«ls, De heren als dienaren en de dienaar als heer. Het stadhouderlijk stelsel in de tweede helft van de achttiende eeuw ('s-Gravenhage 1990)	
98	176	Hanno de Vries, Databestand van regenten van Hollandse steden 1572-1700, met name Rotterdam (berust bij de auteur)	
99	177	Tijdschrift voor Geschiedenis	
100	178	Alkmaars Jaarboekje (Alkmaar 1965-1974)	
101	179	D.J. Roorda, Rond prins en patriciaat (verspreide opstellen) (Weesp 1984)	
102	180	Handelingen van het Provinciaal Genootschap van Kunsten en Wetenschappen in Noord-Brabant	
103	181	E.B.F.F. Wittert van Hoogland, De Nederlandsche adel 1 ('s-Gravenhage 1913)	
104	182	J.Th. de Smidt, e.a. ed., Van tresorier tot thesaurier-generaal. Zes eeuwen financieel beleid in handen van een hoge Nederlandse ambtsdrager (Hilversum 1996)	
105	184	Pieter de la RuÃ«, Staatkundig en heldhaftig Zeeland (Middelburg 1736)	
106	185	M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (2 dln., Leeuwarden 1846)	
107	187	P.C. Bloys van Treslong Prins, Genealogische en heraldische gedenkwaardigheden in en uit de kerken der provincie Overijssel (Utrecht 1925)	
108	188	F. Nagtglas, Levensberichten van Zeeuwen (2 dln., Middelburg 1890-1893)	
109	189	G. Veldhuijzen, Nieuwe heeren nieuwe kussens. Het regentenpatriciaat van Dordrecht 1672-1685 (Dordrecht 1988)	
110	190	Algemeene rekenkamer in de Nederlanden en de daaraan voorafgegane commissien en collegien van toezigt op het beheer van 's lands geldmiddelen 1428-1873, De (ongepubliceerd manuscript; Bibliotheek Algemene Rekenkamer 's-Gravenhage)	
111	191	Hans Bonke en Katja Bossaers, Heren investeren. De bewindhebbers van de West-Friese kamers van de VOC (Haarlem/Hoorn/Enkhuizen 2002)	
112	192	Rijks Archief in Noord-Brabant	
113	193	Pieter Boddaert e.a., Tegenwoordige staat der Vereenigde Nederlanden. Behelzende eene beschryving van Zeeland (Amsterdam 1751)	
114	194	Mattheus Smallegange, Nieuwe Cronyk van Zeeland (Middelburg 1696)	
115	195	Taxandria. Tijdschrift voor Noordbrabantsche geschiedenis en volkskunde (Bergen op Zoom 1894-1943)	
116	196	Th. van Riemsdijk, De griffie van Hare Hoog Mogenden. Bijdrage tot de kennis van het archief van de Staten-Generaal der Vereenigde Nederlanden ('s-Gravenhage 1885)	
117	197	R. Lindeman, Y. Scherf en R.M. Dekker, Reisverslagen van Noord-Nederlanders van de zestiende tot begin negentiende eeuw. Een chronologische lijst (Rotterdam 1994)	
118	198	Johan Huyssen van Kattendijke-kroniek, bewerkt door Antheun Janse (Den Haag 2005)	
119	200	C.M.O. Verhas, De beginjaren van de Hoge Raad van Holland, Zeeland en West-Friesland (Den Haag 1997)	
120	203	H. Baerdt van Sminia, Nieuwe naamlijst van grietmannen van de vroegste tijden af tot het jaar 1795, met eenige geschiedkundige aanteekeningen (Leeuwarden 1837)	
121	204	G. Dumbar, Kerkelyk en wereltlyk Deventer (2 dln., Deventer 1732 en 1788)	
122	205	Notulen van de Staten van Zeeland (gedrukt)	
123	206	M. van der Bijl, Idee en interest. Voorgeschiedenis, verloop en achtergronden van de politieke twisten in Zeeland en vooral in Middelburg tussen 1702 en 1715 (Groningen 1981)	
124	207	Album studiosorum academiae Lugduno Batavae MDLXXV-MDCCCLXXV ('s-Gravenhage 1875)	
125	208	M. Thierry de Bye DÃ³lleman, 'Het Haarlemse geslacht Geltsack', in: Liber amicorum Jhr. Mr. C.C. van Valkenburg ('s-Gravenhage 1985) 81-89	
126	209	ResolutiÃ«n der Staten-Generaal	
127	210	De briefwisseling van Anthonie Heinsius 1702-1720, A.J. Veenendaal ed. (19 dln., 's-Gravenhage 1976-2001)	
128	211	Particuliere notulen van de vergaderingen der Staten van Holland	
129	212	C. Schmidt, Om de eer van de familie. Het geslacht Teding van Berkhout 1500-1950. Een sociologische benadering (Amsterdam 1986)	
130	213	West-Friesland's oud en nieuw (1926-)	
131	214	G. Chr. Kok, In dienst van het recht. Uit de geschiedenis van het gerechtshof te 's-Gravenhage en de daaraan voorafgegane hoven (1428-heden) (Hilversum 2005)	
132	215	P. Brood e.a. ed., Homines novi. De eerste volksvertegenwoordigers van 1795 (Amsterdam 1993)	
133	216	Paul Knevel, Het Haagse bureau. Zeventiende-eeuwse ambtenaren tussen staatsbelang en eigenbelang (Amsterdam 2001)	
134	217	R.G. Louw, Wie was wie in Watergang. Een Waterlands dorp en zijn inwoners in de 17e en 18e eeuw (2 dln., Gouda 2004)	
